╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
181             6.280e-08       7.590e-08       5.300e-08       3.370e-08       3.910e-08       1.460e-08       1.300e-08       1.410e-08       1.410e-08
182             6.430e-08       7.860e-08       5.300e-08       3.560e-08       3.880e-08       1.610e-08       1.630e-08       1.660e-08       1.710e-08
183             6.470e-08       7.860e-08       5.330e-08       3.550e-08       3.960e-08       1.610e-08       1.600e-08       1.700e-08       1.720e-08
184             6.350e-08       7.740e-08       5.430e-08       3.270e-08       3.860e-08       1.450e-08       1.340e-08       1.340e-08       1.380e-08
185             6.530e-08       7.990e-08       5.390e-08       3.320e-08       3.820e-08       1.440e-08       1.370e-08       1.360e-08       1.440e-08
186             6.610e-08       7.920e-08       5.370e-08       3.470e-08       3.860e-08       1.600e-08       1.580e-08       1.660e-08       1.740e-08
187             6.580e-08       7.960e-08       5.390e-08       3.460e-08       3.960e-08       1.600e-08       1.620e-08       1.710e-08       1.660e-08
188             6.540e-08       8.050e-08       5.510e-08       3.450e-08       4.090e-08       1.500e-08       1.430e-08       1.470e-08       1.450e-08
189             7.010e-08       7.940e-08       5.490e-08       3.540e-08       4.050e-08       1.480e-08       1.410e-08       1.500e-08       1.520e-08
190             6.680e-08       8.130e-08       5.490e-08       3.640e-08       4.060e-08       1.630e-08       1.680e-08       1.800e-08       1.720e-08
191             6.660e-08       8.110e-08       5.550e-08       3.670e-08       4.130e-08       1.690e-08       1.640e-08       1.740e-08       1.760e-08
192             6.600e-08       8.020e-08       5.620e-08       3.410e-08       4.010e-08       1.510e-08       1.370e-08       1.420e-08       1.450e-08
193             6.700e-08       8.060e-08       5.620e-08       3.400e-08       3.980e-08       1.540e-08       1.400e-08       1.480e-08       1.430e-08
194             6.820e-08       8.280e-08       5.640e-08       3.650e-08       4.050e-08       1.660e-08       1.700e-08       1.720e-08       1.700e-08
195             6.910e-08       8.270e-08       5.670e-08       3.710e-08       4.040e-08       1.690e-08       1.730e-08       1.780e-08       1.730e-08
196             6.750e-08       8.180e-08       5.710e-08       3.680e-08       4.180e-08       1.580e-08       1.490e-08       1.570e-08       1.510e-08
197             6.690e-08       8.170e-08       5.730e-08       3.670e-08       4.210e-08       1.540e-08       1.430e-08       1.550e-08       1.540e-08
198             6.920e-08       8.340e-08       5.780e-08       3.740e-08       4.260e-08       1.720e-08       1.720e-08       1.810e-08       1.810e-08
199             6.980e-08       8.310e-08       5.900e-08       3.810e-08       4.290e-08       1.720e-08       1.710e-08       1.890e-08       1.800e-08
200             6.950e-08       8.180e-08       5.880e-08       3.500e-08       4.130e-08       1.580e-08       1.470e-08       1.480e-08       1.550e-08
